Instigator;-71.02107,31.95948,70.78645
Lawful;-101.8522,32.36436,75.06963
Follower;-79.30876,31.61146,64.31106
Follower;-100.2838,31.36662,52.94078
Lawful;-97.90244,31.57398,59.54917
Follower;-105.9388,33.51627,105.7009
Lawful;-90.58473,31.64466,63.58855
Lawful;-83.11949,31.53557,57.98503
Lawful;-84.19207,32.15144,75.97159
Lawful;-100.2201,32.92175,91.43069
Lawful;-59.41515,31.75093,74.65367
Lawful;-84.52065,31.61999,63.3389
Lawful;-96.86218,31.53314,57.05857
Lawful;-88.81727,31.25576,47.2947
Lawful;-90.84341,32.40566,78.27143
Lawful;-71.73849,32.46649,89.28848
